Timecode List:,00:00:03.754,00:00:04.421,00:00:05.422,00:00:06.673,00:00:07.591
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,90,00:00:03.754,3.754,90,00:00:03.754,3.754
2,91,00:00:03.754,3.754,106,00:00:04.421,4.421,16,00:00:00.667,0.667
3,107,00:00:04.421,4.421,130,00:00:05.422,5.422,24,00:00:01.001,1.001
4,131,00:00:05.422,5.422,160,00:00:06.673,6.673,30,00:00:01.251,1.251
5,161,00:00:06.673,6.673,182,00:00:07.591,7.591,22,00:00:00.918,0.918
6,183,00:00:07.591,7.591,260,00:00:10.844,10.844,78,00:00:03.253,3.253
