Timecode List:,00:00:01.335,00:00:02.294,00:00:03.128,00:00:03.962
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,32,00:00:01.335,1.335,32,00:00:01.335,1.335
2,33,00:00:01.335,1.335,55,00:00:02.294,2.294,23,00:00:00.959,0.959
3,56,00:00:02.294,2.294,75,00:00:03.128,3.128,20,00:00:00.834,0.834
4,76,00:00:03.128,3.128,95,00:00:03.962,3.962,20,00:00:00.834,0.834
5,96,00:00:03.962,3.962,143,00:00:05.964,5.964,48,00:00:02.002,2.002
