Timecode List:,00:00:01.752,00:00:04.629,00:00:21.061,00:00:24.439,00:00:31.154,00:00:35.616,00:00:36.367,00:00:37.660,00:00:43.290
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,42,00:00:01.752,1.752,42,00:00:01.752,1.752
2,43,00:00:01.752,1.752,111,00:00:04.629,4.629,69,00:00:02.878,2.878
3,112,00:00:04.629,4.629,505,00:00:21.061,21.061,394,00:00:16.432,16.432
4,506,00:00:21.061,21.061,586,00:00:24.439,24.439,81,00:00:03.378,3.378
5,587,00:00:24.439,24.439,747,00:00:31.154,31.154,161,00:00:06.715,6.715
6,748,00:00:31.154,31.154,854,00:00:35.616,35.616,107,00:00:04.462,4.462
7,855,00:00:35.616,35.616,872,00:00:36.367,36.367,18,00:00:00.751,0.751
8,873,00:00:36.367,36.367,903,00:00:37.660,37.660,31,00:00:01.293,1.293
9,904,00:00:37.660,37.660,1038,00:00:43.290,43.290,135,00:00:05.630,5.630
10,1039,00:00:43.290,43.290,1039,00:00:43.332,43.332,1,00:00:00.042,0.042
