Timecode List:,00:00:02.961,00:00:03.921,00:00:08.342,00:00:08.967,00:00:09.593,00:00:11.553,00:00:13.055,00:00:13.972,00:00:15.849,00:00:16.934
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,71,00:00:02.961,2.961,71,00:00:02.961,2.961
2,72,00:00:02.961,2.961,94,00:00:03.921,3.921,23,00:00:00.959,0.959
3,95,00:00:03.921,3.921,200,00:00:08.342,8.342,106,00:00:04.421,4.421
4,201,00:00:08.342,8.342,215,00:00:08.967,8.967,15,00:00:00.626,0.626
5,216,00:00:08.967,8.967,230,00:00:09.593,9.593,15,00:00:00.626,0.626
6,231,00:00:09.593,9.593,277,00:00:11.553,11.553,47,00:00:01.960,1.960
7,278,00:00:11.553,11.553,313,00:00:13.055,13.055,36,00:00:01.502,1.502
8,314,00:00:13.055,13.055,335,00:00:13.972,13.972,22,00:00:00.918,0.918
9,336,00:00:13.972,13.972,380,00:00:15.849,15.849,45,00:00:01.877,1.877
10,381,00:00:15.849,15.849,406,00:00:16.934,16.934,26,00:00:01.084,1.084
11,407,00:00:16.934,16.934,467,00:00:19.478,19.478,61,00:00:02.544,2.544
